RP Entity Id,Timestamp,Response type
https://prod-left.tax.service.gov.uk/SAML2/FANDF,2016-11-02T08:55:50.675Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/FANDF,2016-11-02T09:19:58.408Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/FANDF,2016-11-02T13:43:18.919Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/FANDF,2016-11-02T14:04:29.287Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/FANDF,2016-11-02T15:22:39.172Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/FANDF,2016-11-02T18:57:18.987Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/FANDF,2016-11-02T20:46:51.564Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/FANDF,2016-11-02T23:55:28.134Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:00:09.576Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:03:04.713Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:03:06.230Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:03:11.732Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:04:53.228Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:09:18.792Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:17:59.301Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:20:12.294Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:21:47.889Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T00:25:37.768Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T01:20:40.121Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T01:24:17.462Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T01:33:20.483Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T01:37:11.225Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T01:50:50.710Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T02:02:14.122Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T02:08:42.456Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T02:13:35.988Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T02:20:21.076Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T02:27:09.006Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T02:48:57.711Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T04:27:36.308Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T04:35:56.222Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T04:36:50.568Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T05:25:39.370Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T05:44:58.018Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T05:49:01.824Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:07:40.763Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:14:01.615Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:25:35.690Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:27:50.673Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:29:35.178Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:32:41.758Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:52:08.197Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:53:22.595Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:54:30.967Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T06:58:21.224Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:02:06.980Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:12:12.053Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:12:32.830Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:14:33.062Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:14:54.894Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:16:22.196Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:19:45.359Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:21:27.804Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:22:50.269Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:23:58.366Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:28:00.561Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:28:46.024Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:31:55.531Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:33:39.087Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:37:43.488Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:38:16.283Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:40:26.011Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:40:31.301Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:43:07.986Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:44:14.491Z,NEW
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:45:01.587Z,RETURNING
https://prod-left.tax.service.gov.uk/SAML2/ISA,2016-11-02T07:48:31.395Z,RETURNING
